2013-07-19,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
10,TOPIX,東証,指数,1230.17,1232.02,1198.58,1211.98,-,-
11,TOPIXコア30,東証,指数,659.26,660.68,642.49,651.87,-,-
12,TOPIXラージ70,東証,指数,1139.57,1140.78,1108.29,1120.52,-,-
13,TOPIX100,東証,指数,823.77,825.18,802.48,812.79,-,-
14,TOPIXミッド400,東証,指数,1319.37,1320.85,1284.61,1296.38,-,-
15,TOPIX500,東証,指数,963.91,965.50,938.70,949.83,-,-
16,TOPIXスモール,東証,指数,1359.88,1359.88,1331.90,1336.97,-,-
17,TOPIX1000,東証,指数,1166.52,1168.34,1136.36,1149.32,-,-
18,東証２部指数,東証,指数,3219.31,3220.57,3183.04,3191.06,-,-
19,東証マザーズ指数,東証,指数,807.60,808.70,771.26,785.31,-,-
20,東証REIT指数,東証,指数,1392.02,1392.65,1368.45,1371.16,-,-
21,東証規模別_大型,東証,指数,1187.55,1189.58,1156.86,1171.71,-,-
22,東証規模別_中型,東証,指数,1388.32,1389.87,1351.74,1364.13,-,-
23,東証規模別_小型,東証,指数,2007.60,2007.60,1966.28,1973.77,-,-
24,東証業種別_水産・農林業,東証,指数,282.00,282.54,275.78,276.12,-,-
25,東証業種別_鉱業,東証,指数,350.36,350.39,341.12,346.51,-,-
26,東証業種別_建設業,東証,指数,731.67,732.10,710.52,717.21,-,-
27,東証業種別_食料品,東証,指数,1275.98,1276.27,1251.24,1257.63,-,-
28,東証業種別_繊維製品,東証,指数,513.05,513.05,496.20,500.61,-,-
29,東証業種別_パルプ・紙,東証,指数,380.12,380.91,370.15,372.63,-,-
30,東証業種別_化学,東証,指数,1065.09,1065.32,1035.75,1041.10,-,-
31,東証業種別_医薬品,東証,指数,1861.81,1861.95,1821.23,1830.76,-,-
32,東証業種別_石油石炭製品,東証,指数,963.44,968.81,947.01,962.14,-,-
33,東証業種別_ゴム製品,東証,指数,2818.35,2830.33,2757.87,2799.33,-,-
34,東証業種別_ガラス土石製品,東証,指数,797.10,798.44,769.01,778.54,-,-
35,東証業種別_鉄鋼,東証,指数,611.26,614.60,593.06,601.07,-,-
36,東証業種別_非鉄金属,東証,指数,828.21,828.72,793.40,801.81,-,-
37,東証業種別_金属製品,東証,指数,1022.33,1027.87,1002.20,1006.79,-,-
